x,y,cut_poly
-240,240,a
-235.1515152,246.7993062,a
-230.3030303,253.459851,a
-225.4545455,259.9816345,a
-220.6060606,266.3646567,a
-215.7575758,272.6089175,a
-210.9090909,278.7144169,a
-206.0606061,284.681155,a
-201.2121212,290.5091317,a
-196.3636364,296.1983471,a
-191.5151515,301.7488011,a
-186.6666667,307.1604938,a
-181.8181818,312.4334252,a
-176.969697,317.5675951,a
-172.1212121,322.5630038,a
-167.2727273,327.4196511,a
-162.4242424,332.137537,a
-162.4242424,332.137537,b
-157.5757576,336.7166616,b
-152.7272727,341.1570248,b
-147.8787879,345.4586267,b
-143.030303,349.6214672,b
-138.1818182,353.6455464,b
-133.3333333,357.5308642,b
-128.4848485,361.2774207,b
-123.6363636,364.8852158,b
-118.7878788,368.3542496,b
-113.9393939,371.684522,b
-109.0909091,374.8760331,b
-104.2424242,377.9287828,b
-99.39393939,380.8427711,b
-94.54545455,383.6179982,b
-89.6969697,386.2544638,b
-84.84848485,388.7521681,b
-80,391.1111111,b
-75.15151515,393.3312927,b
-70.3030303,395.412713,b
-65.45454545,397.3553719,b
-63.03030303,398.2573207,b
-63.03030303,398.2573207,c
-60.60606061,399.1592695,c
-55.75757576,400.8244057,c
-50.90909091,402.3507805,c
-46.06060606,403.738394,c
-41.21212121,404.9872462,c
-36.36363636,406.097337,c
-31.51515152,407.0686665,c
-26.66666667,407.9012346,c
-21.81818182,408.5950413,c
-16.96969697,409.1500867,c
-12.12121212,409.5663708,c
-7.272727273,409.8438935,c
-2.424242424,409.9826548,c
0,0,a
0,0,b
0,0,d
0,0,e
2.424242424,409.9826548,c
7.272727273,409.8438935,c
12.12121212,409.5663708,c
16.96969697,409.1500867,c
21.81818182,408.5950413,c
26.66666667,407.9012346,c
31.51515152,407.0686665,c
36.36363636,406.097337,c
41.21212121,404.9872462,c
46.06060606,403.738394,c
50.90909091,402.3507805,c
55.75757576,400.8244057,c
60.60606061,399.1592695,c
63.030303,398.257321,c
63.030303,398.257321,d
65.45454545,397.3553719,d
70.3030303,395.412713,d
75.15151515,393.3312927,d
80,391.1111111,d
84.84848485,388.7521681,d
89.6969697,386.2544638,d
94.54545455,383.6179982,d
99.39393939,380.8427711,d
104.2424242,377.9287828,d
109.0909091,374.8760331,d
113.9393939,371.684522,d
118.7878788,368.3542496,d
123.6363636,364.8852158,d
128.4848485,361.2774207,d
133.3333333,357.5308642,d
138.1818182,353.6455464,d
143.030303,349.6214672,d
147.8787879,345.4586267,d
152.7272727,341.1570248,d
157.5757576,336.7166616,d
162.4242424,332.137537,d
162.4242424,332.137537,e
167.2727273,327.4196511,e
172.1212121,322.5630038,e
176.969697,317.5675951,e
181.8181818,312.4334252,e
186.6666667,307.1604938,e
191.5151515,301.7488011,e
196.3636364,296.1983471,e
201.2121212,290.5091317,e
206.0606061,284.681155,e
210.9090909,278.7144169,e
215.7575758,272.6089175,e
220.6060606,266.3646567,e
225.4545455,259.9816345,e
230.3030303,253.459851,e
235.1515152,246.7993062,e
240,240,e
0,0,c
